"","city","course1","course2","course3","course4","course5","course6","course7","course8","course9","course10","course11","course12","course13","course14","course15","course16","course17","course18","course19","course20","lon","lat","code","title"
"119","Lulea","AMASE","EMERALD","PERCCOM","SPACEMASTER","TRIBOS","SUSCOS","","","","","","","","","","","","","","",22.1567026,65.584819,"Lulea","Lulea"
"120","Lund","IMFSE","","","","","","","","","","","","","","","","","","","",13.1910073,55.7046601,"Lund","Lund"
"121","Lyon","LIVE","EACH","ATOSIM","","","","","","","","","","","","","","","","","",4.835659,45.764043,"Lyon","Lyon"
"122","Madrid","TCCM","4CITIES","MONABIP","EUPADRA","4CITIES","VINIFERA","EMSE","IMIM","VINIFERA","ME3","","","","","","","","","","",-3.7037902,40.4167754,"Madrid","Madrid"
"123","Mannheim","EMLex ","","","","","","","","","","","","","","","","","","","",8.4660395,49.4874592,"Mannheim","Mannheim"
"124","Marseille","EUROPHOTONICS","EUROPHOTONICS","","","","","","","","","","","","","","","","","","",5.36978,43.296482,"Marseille","Marseille"
"125","Maynooth","DESEM","","","","","","","","","","","","","","","","","","","",-6.5918499,53.3812896,"Maynooth","Maynooth"
"126","Memphis","EUROPHILOSOPHIE","","","","","","","","","","","","","","","","","","","",-90.0489801,35.1495343,"Memphis","Memphis"
"127","Mexico City","EUROCULTURE","","","","","","","","","","","","","","","","","","","",-99.133208,19.4326077,"Mexico City","Mexico City"
"128","Milan","MSPME","IMIM","","","","","","","","","","","","","","","","","","",9.1859243,45.4654219,"Milan","Milan"
"129","Montpellier","VINIFERA","PlantHealth","MIM","EDAMUS","MAMASELF","MEME","","","","","","","","","","","","","","",3.876716,43.610769,"Montpellier","Montpellier"
"130","Msida","LCT","GLOBED","IMAESC","","","","","","","","","","","","","","","","","",14.4868883,35.8956388,"Msida","Msida"
"131","Mulhouse","CLE","","","","","","","","","","","","","","","","","","","",7.335888,47.750839,"Mulhouse","Mulhouse"
"132","Mumbai","EMLE","","","","","","","","","","","","","","","","","","","",72.8776559,19.0759837,"Mumbai","Mumbai"
"133","Munich","MAMASELF","MEME","CARTO","IMIM","MAMASELF","","","","","","","","","","","","","","","",11.5819806,48.1351253,"Munich","Munich"
"134","Münster","GeoTech","","","","","","","","","","","","","","","","","","","",7.6261347,51.9606649,"Münster","Münster"
"135","Nancy","EMERALD","LCT","EMLex ","DESEM","AMASE","PERCCOM","","","","","","","","","","","","","","",6.184417,48.692054,"Nancy","Nancy"
"136","Nantes","EMSHIP","EMARO+","ME3","MCM","ACES","","","","","","","","","","","","","","","",-1.553621,47.218371,"Nantes","Nantes"
"137","Napoli","SUSCOS","EUCOMOR","Dyclam","","","","","","","","","","","","","","","","","",14.2681244,40.8517746,"Napoli","Napoli"
"138","New Brunswick","GEMMA","","","","","","","","","","","","","","","","","","","",-74.4518188,40.4862157,"New Brunswick","New Brunswick"
"139","Nice","MATHMODS","","","","","","","","","","","","","","","","","","","",7.2619532,43.7101728,"Nice","Nice"
"140","Nijmegen","EMSD","PLANET Europe","","","","","","","","","","","","","","","","","","",5.8372264,51.8125626,"Nijmegen","Nijmegen"
"141","Ningbo","WACOMA","","","","","","","","","","","","","","","","","","","",121.54399,29.868336,"Ningbo","Ningbo"
"142","Nitra","IMRD","","","","","","","","","","","","","","","","","","","",18.076376,48.3061414,"Nitra","Nitra"
"143","Nizhni Novgorod","IMRCEES","","","","","","","","","","","","","","","","","","","",43.9360589,56.2965039,"Nizhni Novgorod","Nizhni Novgorod"
"144","Norwich","IMAE","","","","","","","","","","","","","","","","","","","",1.297355,52.6308859,"Norwich","Norwich"
"145","Nottingham","STEPS","","","","","","","","","","","","","","","","","","","",-1.1581086,52.9547832,"Nottingham","Nottingham"
"146","Oban","ACES","","","","","","","","","","","","","","","","","","","",-5.471047,56.415157,"Oban","Oban"
"147","Oldenburg","EWEM","","","","","","","","","","","","","","","","","","","",8.2145521,53.1434501,"Oldenburg","Oldenburg"
"148","Olomouc","EUROCULTURE","","","","","","","","","","","","","","","","","","","",17.2508787,49.593778,"Olomouc","Olomouc"
"149","Osaka","EUROCULTURE","","","","","","","","","","","","","","","","","","","",135.5021651,34.6937378,"Osaka","Osaka"
"150","Oslo","GLOBED","","","","","","","","","","","","","","","","","","","",10.7522454,59.9138688,"Oslo","Oslo"
"151","Osnabrück","MARIHE","","","","","","","","","","","","","","","","","","","",8.0471788,52.2799112,"Osnabrück","Osnabrück"
"152","Oulu","EMSE","","","","","","","","","","","","","","","","","","","",25.4650773,65.0120888,"Oulu","Oulu"
"153","Oviedo","EMPHID","EU4M - EMMC","EMECC NURSING","STEPS","GEMMA","","","","","","","","","","","","","","","",-5.8493887,43.3619145,"Oviedo","Oviedo"
"154","Padova","PlantHealth","ASTROMUNDUS","TPTI","SUFONAMA","SAHC","MEDfOR","","","","","","","","","","","","","","",11.8767611,45.4064349,"Padova","Padova"
"155","Palermo","EMSD","","","","","","","","","","","","","","","","","","","",13.3612671,38.1156879,"Palermo","Palermo"
"156","Paris","PlantHealth","IT4BI","Dyclam","IMQP","QEM","MONABIP","TROPIMUNDO","ADVANCES","TPTI","EPOG","","","","","","","","","","",2.3522219,48.856614,"Paris","Paris"
"157","Patras","MEEES","","","","","","","","","","","","","","","","","","","",21.734574,38.2466395,"Patras","Patras"
"158","Pavia","MEEES","","","","","","","","","","","","","","","","","","","",9.1582069,45.1847248,"Pavia","Pavia"
"159","Perpignan","CWCN","","","","","","","","","","","","","","","","","","","",2.8948332,42.6886591,"Perpignan","Perpignan"
"160","Perugia","TCCM","","","","","","","","","","","","","","","","","","","",12.3908279,43.1107168,"Perugia","Perugia"
"161","Pisa","IMRD","","","","","","","","","","","","","","","","","","","",10.4016888,43.7228386,"Pisa","Pisa"
"162","Poitiers","IMAE","","","","","","","","","","","","","","","","","","","",0.340375,46.580224,"Poitiers","Poitiers"
"163","Ponta Delgada","EMMCMSP","","","","","","","","","","","","","","","","","","","",-25.6805868,37.7428301,"Ponta Delgada","Ponta Delgada"
"164","Porto","BIFTEC","MEDfOR","WINTOUR","TCCM","","","","","","","","","","","","","","","","",-8.6291053,41.1579438,"Porto","Porto"
"165","Porto Alegre","IMAE","","","","","","","","","","","","","","","","","","","",-51.2176584,-30.0346471,"Porto Alegre","Porto Alegre"
"166","Potenza","EDAMUS","","","","","","","","","","","","","","","","","","","",15.8056041,40.6404067,"Potenza","Potenza"
"167","Potsdam","MEEES","","","","","","","","","","","","","","","","","","","",13.0644729,52.3905689,"Potsdam","Potsdam"
"168","Poznań","CWCN","EUCOMOR","","","","","","","","","","","","","","","","","","",16.9251681,52.406374,"Poznań","Poznań"
"169","Prague","LCT","EUROPHILOSOPHIE","SPACEMASTER","SAHC","SUSCOS","MEGEI","","","","","","","","","","","","","","",14.4378005,50.0755381,"Prague","Prague"
"170","Pune","EUROCULTURE","","","","","","","","","","","","","","","","","","","",73.8567437,18.5204303,"Pune","Pune"
"171","Regensburg","CoDe","","","","","","","","","","","","","","","","","","","",12.101631,49.0134074,"Regensburg","Regensburg"
"172","Rennes","PlantHealth","IMRD","MAMASELF","","","","","","","","","","","","","","","","","",-1.6777926,48.117266,"Rennes","Rennes"
"173","Rio de Janeiro","MITRA","","","","","","","","","","","","","","","","","","","",-43.1728965,-22.9068467,"Rio de Janeiro","Rio de Janeiro"
"174","Rome","EUPADRA","EMLex ","ARCHMAT","ATOSIM","STEPS","ASTROMUNDUS","MUNDUS URBANO","","","","","","","","","","","","","",12.4963655,41.9027835,"Rome","Rome"
"175","Roskilde","EMGS","","","","","","","","","","","","","","","","","","","",12.087845,55.64191,"Roskilde","Roskilde"
"176","Rostock","EMSHIP","","","","","","","","","","","","","","","","","","","",12.0991466,54.0924406,"Rostock","Rostock"
"177","Rotterdam","EMLE","","","","","","","","","","","","","","","","","","","",4.4777325,51.9244201,"Rotterdam","Rotterdam"
"178","Saarbrücken","AMASE","LCT","","","","","","","","","","","","","","","","","","",6.9969327,49.2401572,"Saarbrücken","Saarbrücken"
"179","Saint-Etienne","Dyclam","COSI","","","","","","","","","","","","","","","","","","",30.3350986,59.9342802,"Saint-Etienne","Saint-Etienne"
"180","Saint Petersburg","PERCCOM","WACOMA","","","","","","","","","","","","","","","","","","",4.3871779,45.439695,"Saint Petersburg","Saint Petersburg"
"181","Salzburg","DCLead","","","","","","","","","","","","","","","","","","","",13.05501,47.80949,"Salzburg","Salzburg"
"182","San Sebastian","LCT","","","","","","","","","","","","","","","","","","","",-1.9812313,43.318334,"San Sebastian","San Sebastian"
"183","Santander","MEGEI","","","","","","","","","","","","","","","","","","","",-3.8099803,43.4623057,"Santander","Santander"
"184","Santarém","EMECC NURSING","","","","","","","","","","","","","","","","","","","",-8.704075,39.2848804,"Santarém","Santarém"
"185","Santiago de Compostela","EMLex ","CWCN","","","","","","","","","","","","","","","","","","",-8.5448445,42.8782132,"Santiago de Compostela","Santiago de Compostela"
"186","Santos","WACOMA","","","","","","","","","","","","","","","","","","","",-46.3288865,-23.9678823,"Santos","Santos"
"187","Sao Carlos","EUROPHILOSOPHIE","","","","","","","","","","","","","","","","","","","",-47.8909142,-22.0087086,"Sao Carlos","Sao Carlos"
"188","Seville","EMMCMSP","","","","","","","","","","","","","","","","","","","",-5.9844589,37.3890924,"Seville","Seville"
"189","Sheffield","CWCN","","","","","","","","","","","","","","","","","","","",-1.470085,53.381129,"Sheffield","Sheffield"
"190","Solna","EMPHID","","","","","","","","","","","","","","","","","","","",18.0084334,59.3688791,"Solna","Solna"
"191","Southampton","MEREMMC","CoMEM","EMECS","","","","","","","","","","","","","","","","","",-1.4043509,50.9097004,"Southampton","Southampton"
"192","St. Andrews","CWCN","DESEM","","","","","","","","","","","","","","","","","","",-2.7967214,56.3397753,"St. Andrews","St. Andrews"
"193","Stavanger","MFAMILY","","","","","","","","","","","","","","","","","","","",5.7331073,58.9699756,"Stavanger","Stavanger"
"194","Stellenbosch","EMLex ","","","","","","","","","","","","","","","","","","","",18.860152,-33.9321045,"Stellenbosch","Stellenbosch"
"195","Stockholm","ME3","","","","","","","","","","","","","","","","","","","",18.0685808,59.3293235,"Stockholm","Stockholm"
"196","Stoke-on-Trent","MEGEI","","","","","","","","","","","","","","","","","","","",-2.179404,53.002668,"Stoke-on-Trent","Stoke-on-Trent"
"197","Strasbourg","CLE","EUROCULTURE","","","","","","","","","","","","","","","","","","",7.7521113,48.5734053,"Strasbourg","Strasbourg"
"198","Stuttgart","MCM","Dyclam","","","","","","","","","","","","","","","","","","",9.1829321,48.7758459,"Stuttgart","Stuttgart"
"199","Swansea","MUNDUS JOURNALISM","MCM","","","","","","","","","","","","","","","","","","",-3.943646,51.62144,"Swansea","Swansea"
"200","Szczecin","EMSHIP","","","","","","","","","","","","","","","","","","","",14.5528116,53.4285438,"Szczecin","Szczecin"
"201","Szeged","CHOREOMUNDUS","","","","","","","","","","","","","","","","","","","",20.1414253,46.2530102,"Szeged","Szeged"
"202","Tallinn","KINOEYES | KEM","IMAESC","","","","","","","","","","","","","","","","","","",24.7535746,59.4369608,"Tallinn","Tallinn"
"203","Tampere","MARIHE","","","","","","","","","","","","","","","","","","","",23.7609535,61.4977524,"Tampere","Tampere"
"204","Tarragona","IMQP","WINTOUR","","","","","","","","","","","","","","","","","","",1.2444909,41.1188827,"Tarragona","Tarragona"
"205","Tartu","IMRCEES","EACH","","","","","","","","","","","","","","","","","","",26.7290063,58.3776252,"Tartu","Tartu"
"206","Tbilisi","IMRCEES","","","","","","","","","","","","","","","","","","","",44.827096,41.7151377,"Tbilisi","Tbilisi"
"207","The Hague","MUNDUS MAPP","","","","","","","","","","","","","","","","","","","",4.3006999,52.0704978,"The Hague","The Hague"
"208","Thessaloniki","ARCHMAT","CLE","","","","","","","","","","","","","","","","","","",22.9444191,40.6400629,"Thessaloniki","Thessaloniki"
"209","Timisoara","SUSCOS","","","","","","","","","","","","","","","","","","","",21.2086793,45.7488716,"Timisoara","Timisoara"
"210","Tokyo","EUROPHILOSOPHIE","SPACEMASTER","","","","","","","","","","","","","","","","","","",139.6917064,35.6894875,"Tokyo","Tokyo"
"211","Tomar","IMQP","Dyclam","","","","","","","","","","","","","","","","","","",-8.4042526,39.6052067,"Tomar","Tomar"
"212","Torino","MAMASELF","","","","","","","","","","","","","","","","","","","",7.6868565,45.070312,"Torino","Torino"
"213","Toulouse","SPACEMASTER","TCCM","EM-SANF","EUROPHILOSOPHIE","","","","","","","","","","","","","","","","",1.444209,43.604652,"Toulouse","Toulouse"
"214","Tours","IT4BI","","","","","","","","","","","","","","","","","","","",0.68484,47.394144,"Tours","Tours"
"215","Trabzon","MEDfOR","","","","","","","","","","","","","","","","","","","",39.7167633,41.0026969,"Trabzon","Trabzon"
"216","Trento","LCT","CoDe","","","","","","","","","","","","","","","","","","",11.1217486,46.0747793,"Trento","Trento"
"217","Trondheim","CoMEM","EWEM","EMECS","CHOREOMUNDUS","","","","","","","","","","","","","","","","",10.3950528,63.4305149,"Trondheim","Trondheim"
"218","Turin","VINIFERA","VINIFERA","EPOG","","","","","","","","","","","","","","","","","",7.6868565,45.070312,"Turin","Turin"
"219","Turku","EACH","","","","","","","","","","","","","","","","","","","",22.2666303,60.4518126,"Turku","Turku"
"220","Udine","VINIFERA","EUROCULTURE","","","","","","","","","","","","","","","","","","",13.2345794,46.0710668,"Udine","Udine"
"221","Umea","MSPME","","","","","","","","","","","","","","","","","","","",20.2630354,63.8258471,"Umea","Umea"
"222","Uppsala","MEME","EACH","IMIM Med","EUROCULTURE","","","","","","","","","","","","","","","","",17.6389267,59.8585638,"Uppsala","Uppsala"
"223","Utrecht","GEMMA","","","","","","","","","","","","","","","","","","","",5.1214201,52.0907374,"Utrecht","Utrecht"
"224","Valencia","PlantHealth","TCCM","","","","","","","","","","","","","","","","","","",-0.3762881,39.4699075,"Valencia","Valencia"
"225","Valladolid","MEDfOR","","","","","","","","","","","","","","","","","","","",-4.7245321,41.652251,"Valladolid","Valladolid"
"226","Venice","MIM","QEM","EMMCMSP","","","","","","","","","","","","","","","","","",12.3155151,45.4408474,"Venice","Venice"
"227","Vestfold","SSI","","","","","","","","","","","","","","","","","","","",10.1144355,59.1707862,"Vestfold","Vestfold"
"228","Vienna","EUCOMOR","EMGS","EMLE","4CITIES","CARTO","","","","","","","","","","","","","","","",16.3738189,48.2081743,"Vienna","Vienna"
"229","Vila Rea","IMQP","","","","","","","","","","","","","","","","","","","",-7.7457274,41.3003527,"Vila Rea","Vila Rea"
"230","Vilnius","EUROPHOTONICS","","","","","","","","","","","","","","","","","","","",25.2796514,54.6871555,"Vilnius","Vilnius"
"231","Viterbo","MEDfOR","","","","","","","","","","","","","","","","","","","",12.107669,42.4206766,"Viterbo","Viterbo"
"232","Wageningen","EM-SANF","","","","","","","","","","","","","","","","","","","",5.6653948,51.9691868,"Wageningen","Wageningen"
"233","Warsaw","EMLE","ADVANCES","EMARO+","","","","","","","","","","","","","","","","","",21.0122287,52.2296756,"Warsaw","Warsaw"
"234","Wroclaw","MONABIP","EMGS","MONABIP","","","","","","","","","","","","","","","","","",17.0385376,51.1078852,"Wroclaw","Wroclaw"
"235","Wuppertal","EUROPHILOSOPHIE","","","","","","","","","","","","","","","","","","","",7.1507636,51.2562128,"Wuppertal","Wuppertal"
"236","Würzburg","SPACEMASTER","","","","","","","","","","","","","","","","","","","",9.9533548,49.7913044,"Würzburg","Würzburg"
"237","York","MUNDUS MAPP","","","","","","","","","","","","","","","","","","","",-1.0872979,53.9599651,"York","York"
"238","Zaragoza","EDAMUS","","","","","","","","","","","","","","","","","","","",-0.8897421,41.6488696,"Zaragoza","Zaragoza"
